iter   Level 01   Level 05   Level 10   Level 15   Level 20
  1:         41         35         22         20         24
  2:         34         34         31         35         26
  3:         30         15         34         26         21
  4:         30         30         27         22         22
  5:         15         28         38         29         31
  6:         33         40         26         24         19
  7:         44         31         24         43         37
  8:         19         18         43         36         24
  9:         20         42         39         40         30
 10:         30         48         13         22         22
 11:         46         36         30         25         29
 12:         35         12         32         24         26
 13:         20         31         39         32         18
 14:         46         36         34         24         32
 15:         28         35         35         26         35
 16:         38         49         26         33         23
 17:         13         50         26         23         30
 18:         24         34         19         19         25
 19:         40         30         40         29         28
 20:         45         44         27          9         19
 21:         27         38         26         28         26
 22:         45         47         30         43         26
 23:         56         25         36         36         25
 24:         36         15         19         29         18
 25:         36         44         32         27         31
 26:         49         31         27         35         24
 27:         44         24         27         28         18
 28:         20         72         30         21         20
 29:         15         42         23         35         29
 30:         16         13         41         22         18
 31:         10         24         14         25         24
 32:         35         38         27         35         27
 33:         17         29         30         26         14
 34:         46         48         14         36         35
 35:         47         32         27         29         37
 36:         38         41         36         22         28
 37:         35         61         16         33         17
 38:         61         31         34         38         36
 39:         36         38         24         35         18
 40:         51         28         28         30         18
 41:         36         38         22         38         18
 42:         59         29         30         36         32
 43:         26         29         32         33         27
 44:         20         36         25         22         18
 45:         26         28         21         28         23
 46:         46         40         17         25         27
 47:         54         28         24         30         23
 48:         40         34         19         36         25
 49:         37         34         33         46         18
 50:         12         58         22         27         18
