iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         40         22         39         33         27
  2:         33         28         26         15         29
  3:         41         41         39         29         23
  4:         27         43         28         37         28
  5:         41         38         41         17         23
  6:         36         42         39         19         25
  7:         39         26         33         23         31
  8:         36         50         28         18         27
  9:         59         49         47         43         29
 10:         49         43         20         25         23
 11:         50         33         26         27         19
 12:         30         42         24         27         29
 13:         31         40         53         25         19
 14:         40         21         37         16         20
 15:         35         29         45         28         23
 16:         29         38         36         29         15
 17:         35         36         17         18         16
 18:         32         17         46         30         25
 19:         28         31         22         33         21
 20:         31         17         36         19         20
 21:         43         22         20         32         28
 22:         33         26         27         33         29
 23:         28         36         23         32         28
 24:         15         46         31         33         33
 25:         44         31         30         27         24
 26:         39         26         27         24         25
 27:         41         28         27         26         21
 28:         24         19         33         32         16
 29:         40         51         33         30         27
 30:         31         30         28         37         26
 31:         43         35         34         49         24
 32:         32         28         18         24         30
 33:         45         29         42         50         32
 34:         28         36         38         28         27
 35:         70         33         30         28         21
 36:         32         35         29         31         21
 37:         71         30         27         24         31
 38:         16         26         23         17         24
 39:         46         32         35         24         36
 40:         25         11         33         33         26
 41:         48         43         34         36         22
 42:         44         17         25         22         33
 43:         44         35         41         36         33
 44:         29         37         30         28         31
 45:         68         34         37         17         28
 46:         23         33         45         27         27
 47:         28         42         31         32         30
 48:         36         26         39         34         34
 49:         64         31         36         34         20
 50:         27         47         34         36         23
win:          0          0          0          0          0
